description,date,Ruggerio,Lynch Prata,Mr. President,Goldin,Satchell,Nesselbush,Picard,Calkin,Archambault,Cote,Kettle,Cool Rumsey,Raptakis,Seveney,Crowley,Algiere,Jabour,Da Ponte,Pagliarini,Gallo,Madam President,Coyne,Morgan,Metts,Sosnowski,Gee,Lynch,O'Neill,Doyle,Goodwin,Ciccone,Paiva Weed,Conley,Hodgson,Lombardo,Felag,Walaska,Pearson,Paolino,Pichardo,Sheehan,Fogarty,Miller,DiPalma,McCaffrey,Quezada,Bates,Ottiano,Lombardi
CALENDARITEM 7              2014-S 2967Doyle            FINANCECITY OF PAWTUCKET -BRIDGES - BONDSPASSAGE,THURSDAY/ JUNE 05/ 20145:10:34 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 8         2014-S 2092 SUB ASosnowski        JUDICIARYMOTOR AND OTHER VEHICLES -MOBILE TELEPHONE USEAPPROVAL of AMENDMENTLC 003279/2,THURSDAY/ JUNE 05/ 20145:14:18 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 8         2014-S 2092 SUB ASosnowski        JUDICIARYMOTOR AND OTHER VEHICLES -MOBILE TELEPHONE USEPASSAGE as AMENDED,THURSDAY/ JUNE 05/ 20145:14:47 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 9            2014-S 2371 aaWalaska          JUDICIARYRELATING TO PROPERTY -SELF-SERVICE STORAGE FACILITIESPASSAGE,THURSDAY/ JUNE 05/ 20145:15:37 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,N,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 10        2014-S 2380 SUB APearson          JUDICIARYRELATING TO TAXATION -CIGARETTE TAXPASSAGE,THURSDAY/ JUNE 05/ 20145:17:55 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 12             2014-S 2601Cool Rumsey      JUDICIARYDELINQUENT & DEPENDENT CHILDREN- PROCEEDINGS IN FAMILY COURTPASSAGE,THURSDAY/ JUNE 05/ 20145:19:10 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 13             2014-S 2602Lynch            JUDICIARYCRIM. OFFENSES - TRAFFICKING OFPERSONS & INVOLUNTARY SERVITUDEPASSAGE,THURSDAY/ JUNE 05/ 20145:20:22 PM,Y,N/A,N/A,N,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 14             2014-S 2636Doyle            JUDICIARYRELATING TO PROPERTY -MECHANICS' LIENSAPPROVAL of AMENDMENTLC 004244/2,THURSDAY/ JUNE 05/ 20145:21:15 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 14             2014-S 2636Doyle            JUDICIARYRELATING TO PROPERTY -MECHANICS' LIENSPASSAGE as AMENDED,THURSDAY/ JUNE 05/ 20145:21:39 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
"CALENDARITEM 15             2014-S 2645Jabour           JUDICIARYCRIMINAL PROCEDURE- INDICTMENTS,INFORMATIONS AND COMPLAINTSPASSAGE",THURSDAY/ JUNE 05/ 20145:23:28 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 16             2014-S 2652Lombardi         JUDICIARYAN ACT RELATINGTO CRIMINAL PROCEDUREPASSAGE,THURSDAY/ JUNE 05/ 20145:24:57 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 17        2014-S 2717 SUB ACiccone          JUDICIARYRELATING TO ALCOHOLIC BEVERAGES- LICENSES GENERALLYPASSAGE,THURSDAY/ JUNE 05/ 20145:25:44 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,Y,N/A,Y,Y,NV
CALENDARITEM 17        2014-S 2717 SUB ACiccone          JUDICIARYRELATING TO ALCOHOLIC BEVERAGES- LICENSES GENERALLYPASSAGE,THURSDAY/ JUNE 05/ 20145:26:26 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 18     2014-S 2253 SUB A aaPicard           ORDEREDMOTOR & OTHER VEHICLES - UNIFORMCOMMERCIAL DRIVER'S LICENSE ACTPASSAGEIN CONCURRENCE,THURSDAY/ JUNE 05/ 20145:27:12 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 19        2014-S 2049 SUB APearson          FINANCETOWNS/CITIES-RETIREMENT SECURITYACT FOR LOCALLY ADMIN. PENSIONPASSAGE,THURSDAY/ JUNE 05/ 20145:28:05 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 20        2014-S 2215 SUB AGoodwin          FINANCESTATE AFFAIRS AND GOVERNMENT -THE AGING IN COMMUNITY OF 2014PASSAGE,THURSDAY/ JUNE 05/ 20145:28:53 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 21        2014-S 2216 SUB ASosnowski        FINANCEAN ACT RELATING TOPUBLIC FINANCE - STATE FUNDSPASSAGE,THURSDAY/ JUNE 05/ 20145:30:28 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 22             2014-S 2319Lynch            FINANCEAN ACT RELATING TOAGRICULTURE AND FORESTRYPASSAGE,THURSDAY/ JUNE 05/ 20145:31:03 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 23             2014-S 2464Sosnowski        FINANCEAN ACT RELATING TOFISH AND WILDLIFE - LICENSINGPASSAGE,THURSDAY/ JUNE 05/ 20145:31:46 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 24        2014-S 2796 SUB ACool Rumsey      FINANCERELATING TO PUBLIC PROPERTY ANDWORKS - STATE PURCHASESPASSAGE,THURSDAY/ JUNE 05/ 20145:34:14 PM,Y,N/A,N/A,Y,Y,Y,N,N/A,Y,N,N,Y,N,N/A,Y,N,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,N,Y,Y,NV,N/A,Y,Y,N,Y,N,N,N/A,Y,N,Y,Y,Y,Y,N/A,N,N,Y
CALENDARITEM 25             2014-S 2958Hodgson          FINANCETOWN OF NARRAGANSETT - ATHLETICCOMPLEX - BONDSPASSAGE,THURSDAY/ JUNE 05/ 20145:35:14 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
"CALENDARITEM 26             2014-S 3001Sosnowski        FINANCETOWN OF SOUTH KINGSTOWN -  HIGH,MIDDLE and ELEM. SCHOOLS - BONDSPASSAGE",THURSDAY/ JUNE 05/ 20145:36:12 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 27             2014-S 3002Sosnowski        FINANCETOWN OF SOUTH KINGSTOWN - COMM.RECREATION CENTER - BONDSPASSAGE,THURSDAY/ JUNE 05/ 20145:36:59 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
"CALENDARITEM 28             2014-S 3026Hodgson          FINANCETOWN OF EAST GREENWICH - ROADS,SIDEWALKS, DRAINAGE FACL.- BONDSPASSAGE",THURSDAY/ JUNE 05/ 20145:37:54 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 29        2014-S 2222 SUB AMiller           HEALTHRELATING TO HEALTH AND SAFETY -HOSPITAL CHARGESPASSAGE,THURSDAY/ JUNE 05/ 20145:38:53 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 30        2014-S 2355 SUB AOttiano          HEALTHJt.Res.:REQ. RI DEV. DISABILITESCOUNCIL- EXAMINE/REFINE POLICIESPASSAGE,THURSDAY/ JUNE 05/ 20145:40:20 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 31        2014-S 2359 SUB AMiller           HEALTHHEALTH AND SAFETY - HEALTH CARESERVICES- UTILIZATION REVIEW ACTPASSAGE,THURSDAY/ JUNE 05/ 20145:41:29 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 32        2014-S 2505 SUB APearson          HEALTHAN ACT RELATINGTO INSURANCEPASSAGE,THURSDAY/ JUNE 05/ 20145:42:53 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 33        2014-S 2562 SUB AGoodwin          HEALTHHEALTH AND SAFETY -LEAD POISONING PREVENTION ACTPASSAGE,THURSDAY/ JUNE 05/ 20145:43:55 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 34             2014-S 2702Nesselbush       HEALTHPUBLIC PROP.& WORKS - VOCATIONALREHABILITATION FOR THE DISABLEDPASSAGE,THURSDAY/ JUNE 05/ 20145:45:24 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 35        2014-S 2878 SUB ADoyle            HEALTHRELATING TO INSURANCE -HEALTH MAINTENANCE ORGANIZATIONSPASSAGE,THURSDAY/ JUNE 05/ 20145:46:26 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 36        2014-S 2925 SUB AArchambault      HEALTHAN ACT RELATING TOBUSINESSES AND PROFESSIONSPASSAGE,THURSDAY/ JUNE 05/ 20145:47:03 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 37        2014-S 2972 SUB ADiPalma          HEALTHSTATE AFFAIRS AND GOVERNMENT -OFFICE OF HEALTH AND HUMAN SVCS.PASSAGE,THURSDAY/ JUNE 05/ 20145:47:47 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 38             2014-S 2928Pichardo         JUDICIARYAN ACT RELATING TOSOLEMNIZATION OF MARRIAGESPASSAGE,THURSDAY/ JUNE 05/ 20145:48:25 PM,NV,N/A,N/A,Y,Y,Y,Y,N/A,Y,NV,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,NV,Y,N/A,Y,NV,Y,Y,NV,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,NV
CONSENT CALENDARADOPTION,TUESDAY/ JUNE 10/ 20144:51:16 PM,NV,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,WEDNESDAY/ JUNE 11/ 20145:17:50 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
FROM THE DESK2014-S-2885 by ARCHAMBAULTAMENDING THE CHARTER OFNORTH PROVIDENCETAKE from the DESKPLACE on the CALENDAR,WEDNESDAY/ JUNE 11/ 20145:19:19 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
2014-S-3013 by GOODWINSTATE AFFAIRS AND GOVERNMENTand2014-S-3014 by DiPALMACOURTS AND CIVIL PROCEDUREMOTION TO RECOMMITT TO COMMITTEE,WEDNESDAY/ JUNE 11/ 20145:20:04 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 1              2014-S 2547McCaffrey        JUDICIARYPROBATE PRACTICE AND PROCEDURE -PRACTICE IN PROBATE COURTSAPPROVAL of AMENDMENTLC 004845/2,WEDNESDAY/ JUNE 11/ 20145:21:18 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 1              2014-S 2547McCaffrey        JUDICIARYPROBATE PRACTICE AND PROCEDURE -PRACTICE IN PROBATE COURTSPASSAGE as AMENDED,WEDNESDAY/ JUNE 11/ 20145:21:39 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 2              2014-S 2749Archambault      HOUSINGTOWNS & CITIES - TOWN OFSMITHFIELD BUSINESS REGISTRATIONPASSAGE,WEDNESDAY/ JUNE 11/ 20145:22:41 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 3         2014-S 2182 SUB AGoodwin          EDUCATIONACT RELATING TO EDUCATION -ADULT EDUCATIONPASSAGE,WEDNESDAY/ JUNE 11/ 20145:23:43 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 5              2014-S 2950Picard           EDUCATIONEDUCATION - THE RHODE ISLANDBOARD OF EDUCATION ACTPASSAGE,WEDNESDAY/ JUNE 11/ 20145:24:44 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 6    2014-S 2311 as amendedArchambault      ENVIRONMENTANIMALS AND ANIMAL HUSBANDRY -CRUELTY TO ANIMALSPASSAGE,WEDNESDAY/ JUNE 11/ 20145:25:50 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 7         2014-S 2690 SUB ASosnowski        ENVIRONMENTPUBLIC UTILITIES AND CARRIERS -THE CLEAN ENERGY JOBS PROGRAMAPPROVAL of AMENDMENTLC 004420/2,WEDNESDAY/ JUNE 11/ 20145:29:05 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,R,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 7         2014-S 2690 SUB ASosnowski        ENVIRONMENTPUBLIC UTILITIES AND CARRIERS -THE CLEAN ENERGY JOBS PROGRAMPASSAGE as AMENDED,WEDNESDAY/ JUNE 11/ 20145:29:34 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,R,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 8         2014-S 2952 SUB AConley           ENVIRONMENTSTATE AFFAIRS AND GOVERNMENT -CLIMATE CHANGEPASSAGE,WEDNESDAY/ JUNE 11/ 20145:31:55 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 9      2014-S 2792 SUB A aaSosnowski        ENVIRONMENTWATERS AND NAVIGATION - CRMC -FISHERIES ADMINISTRATIVE FUNDPASSAGE,WEDNESDAY/ JUNE 11/ 20145:34:00 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 10        2014-S 2660 SUB AMcCaffrey        JUDICIARYFOOD AND DRUGS - UNIFORMCONTROLLED SUBSTANCES ACTPASSAGE,WEDNESDAY/ JUNE 11/ 20145:34:56 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 11        2014-S 2718 SUB AMiller           JUDICIARYRELATING TO TOWNS AND CITIES -ZONING ORDINANCESPASSAGE,WEDNESDAY/ JUNE 11/ 20145:35:38 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 12        2014-S 2721 SUB ARuggerio         JUDICIARYAN ACT RELATING TO PUBLICPROPERTY AND WORKSPASSAGE,WEDNESDAY/ JUNE 11/ 20145:36:39 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 14        2014-S 2249 SUB ALynch            LABORACT RELATING TO LABOR -MINIMUM WAGESAPPROVAL of AMENDMENTLC 003818/2,WEDNESDAY/ JUNE 11/ 20145:56:55 PM,N,N/A,N/A,N,N,N,N,N/A,N,Y,Y,N,Y,N/A,N,N,N,N,N/A,N,N,N/A,N/A,N,N,N/A,N,Y,N,N,NV,N/A,N,N,N,N,N,N,N/A,N,N,N,N,NV,N,N/A,N,N,N
CALENDARITEM 14        2014-S 2249 SUB ALynch            LABORACT RELATING TO LABOR -MINIMUM WAGESAPPROVAL of AMENDMENTLC 003818/3,WEDNESDAY/ JUNE 11/ 20146:06:43 PM,N,N/A,N/A,N,N,N,N,N/A,N,N,Y,N,Y,N/A,N,N,N,N,N/A,N,N,N/A,N/A,N,N,N/A,N,Y,N,N,NV,N/A,N,N,N,N,N,N,N/A,N,N,N,N,NV,N,N/A,N,N,N
